model,target_1_ACC_mean/std,target_1_NED_mean/std,target_1_CER_mean/std,target_2_ACC_mean/std,target_2_NED_mean/std,target_2_CER_mean/std,target_3_ACC_mean/std,target_3_NED_mean/std,target_3_CER_mean/std,target_4_ACC_mean/std,target_4_NED_mean/std,target_4_CER_mean/std,target_5_ACC_mean/std,target_5_NED_mean/std,target_5_CER_mean/std,target_6_ACC_mean/std,target_6_NED_mean/std,target_6_CER_mean/std
TextCtrl,0.030000/0.170587,0.363345/0.240651,0.688000/0.288888,0.000000/0.000000,0.260952/0.222840,0.776000/0.261197,0.000000/0.000000,0.206810/0.182094,0.830000/0.219773,0.000000/0.000000,0.211095/0.199621,0.930000/0.372066,0.000000/0.000000,0.074012/0.095069,0.960000/0.146969,0.000000/0.000000,0.000000/0.000000,1.058000/0.145038
Self Prompting SD3.5,0.000000/0.000000,0.043492/0.084661,1.064000/0.215184,0.000000/0.000000,0.022333/0.061293,1.078000/0.246406,0.000000/0.000000,0.008000/0.039192,1.060000/0.175499,0.000000/0.000000,0.020909/0.061064,1.676667/0.381386,0.000000/0.000000,0.005333/0.030448,1.058000/0.179544,0.000000/0.000000,0.000000/0.000000,1.102000/0.235788
